feature,importance
cat__마명_라온더어펌드,0
cat__마명_라온더벨몬트,0
cat__마명_라온니진스키,0
cat__마명_라온노던댄스,0
cat__마명_라라케이,0
cat__마명_라라걸,0
cat__마명_따뜻한위로,0
cat__마명_딕시맨,0
cat__마명_디아나,0
cat__마명_디네,0
cat__마명_드림카드,0
cat__마명_드림아일,0
cat__마명_드림아너,0
cat__마명_드림릿지,0
cat__마명_드림다이아,0
cat__마명_랩처,0
cat__마명_라파예트,0
cat__마명_라이트윙,0
cat__마명_라이징모,0
cat__마명_라이언하트,0
cat__마명_라이브스타,0
cat__마명_라온플로렌스,0
cat__마명_라온포레스트,0
cat__마명_라온파이널,0
cat__마명_라온파라노마,0
cat__마명_라온티모스,0
cat__마명_라온탑플레이,0
cat__마명_라온이클립스,0
cat__마명_라온스필레타,0
cat__마명_라온스나이퍼,0
cat__마명_라온사일런스,0
cat__마명_레베랑스,0
cat__마명_레드벨럭키,0
cat__마명_레드드래곤,0
cat__마명_레드동백,0
cat__마명_런와일드,0
cat__마명_럭키하눌,0
cat__마명_럭키프랭크,0
cat__마명_럭키파티,0
cat__마명_럭키조이,0
cat__마명_럭키에이원,0
cat__마명_럭키서니,0
cat__마명_럭키붐,0
cat__마명_럭키데이,0
cat__마명_러브오마인,0
cat__마명_러브스칼렛,0
cat__마명_러버맨,0
cat__마명_마니노다지,0
cat__마명_리플렉트,0
cat__마명_리얼딜,0
cat__마명_리멤버어게인,0
cat__마명_리걸하이,0
cat__마명_루지,0
cat__마명_롯폰기드래곤,0
cat__마명_로열플러스,0
cat__마명_로열삭스,0
cat__마명_로열베스트,0
cat__마명_로드투스피어,0
cat__마명_로드투스타,0
cat__마명_레전드와우,0
cat__마명_레전드선,0
cat__마명_레인스타,0
cat__마명_레이디폭스,0
cat__마명_마이티아미,0
cat__마명_마이티숀,0
cat__마명_마이티샤인,0
cat__마명_마이티비트,0
cat__마명_마이티룩,0
cat__마명_마이티러브,0
cat__마명_마이티네오,0
cat__마명_마이웨이보스,0
cat__마명_마이엠파이어,0
cat__마명_마이모어,0
cat__마명_마이머닝스,0
cat__마명_마이던,0
cat__마명_마의웨이,0
cat__마명_마스터플랜,0
cat__마명_마스터콰이곤,0
cat__마명_마루장군,0
cat__마명_맥스파티,0
cat__마명_맥스맨,0
cat__마명_매직포션,0
cat__마명_매직스트롱,0
cat__마명_말스고,0
cat__마명_만대로,0
cat__마명_마터호른케이,0
cat__마명_마천월드,0
cat__마명_마이티프리,0
cat__마명_마이티탭,0
cat__마명_마이티크리스,0
cat__마명_마이티캡,0
cat__마명_마이티조이,0
cat__마명_마이티에버,0
cat__마명_몬탁선샤인,0
cat__마명_모어댄조크,0
cat__마명_모던파티,0
cat__마명_모닝원더,0
cat__마명_명품족,0
cat__마명_명파워,0
cat__마명_명진불패,0
cat__마명_명성축제,0
cat__마명_명드림,0
cat__마명_메이저크라운,0
cat__마명_메가스텝,0
cat__마명_메가드래곤,0
cat__마명_머스탱파워,0
cat__마명_머스킷클리버,0
cat__마명_머스킷데이,0
cat__마명_머니포시즌,0
cat__마명_미스터스톰,0
cat__마명_미스윈스타,0
cat__마명_미라클한강,0
cat__마명_미라클삭스,0
cat__마명_물레방아,0
cat__마명_문학파이터,0
cat__마명_문학축제,0
cat__마명_문학보이,0
cat__마명_문학벨,0
cat__마명_문학댄스,0
cat__마명_문학대세,0
cat__마명_무한아르고,0
cat__마명_무제한급,0
cat__마명_무적함대,0
cat__마명_무빙볼케이노,0
cat__마명_몬탁챗,0
cat__마명_벌교의스타,0
cat__마명_벌교베리타스,0
cat__마명_벌교박강굴,0
cat__마명_벌교라바,0
cat__마명_벌교디와이,0
cat__마명_벌교데스티노,0
cat__마명_벌교그래미,0
cat__마명_버건디,0
cat__마명_뱅크라인,0
cat__마명_백룡,0
cat__마명_발키리,0
cat__마명_발베니,0
cat__마명_바주카보이,0
cat__마명_바로다나은,0
cat__마명_민트플레이,0
