feature,importance
cat__마명_문학대세,0
cat__마명_문학댄스,0
cat__마명_문학벨,0
cat__마명_문학보이,0
cat__마명_문학축제,0
cat__마명_문학파이터,0
cat__마명_물레방아,0
cat__마명_미라클삭스,0
cat__마명_미라클한강,0
cat__마명_미스윈스타,0
cat__마명_미스터스톰,0
cat__마명_미스터카라,0
cat__마명_민트플레이,0
cat__마명_바로다나은,0
cat__마명_바주카보이,0
cat__마명_발베니,0
cat__마명_발키리,0
cat__마명_백룡,0
cat__마명_뱅크라인,0
cat__마명_버건디,0
cat__마명_벌교그래미,0
cat__마명_벌교데스티노,0
cat__마명_벌교디와이,0
cat__마명_벌교라바,0
cat__마명_벌교박강굴,0
cat__마명_벌교의스타,0
cat__마명_벌교차돌,0
cat__마명_베스트드림,0
cat__마명_베스트라지,0
cat__마명_베스트레이스,0
cat__마명_베스트선,0
cat__마명_베스트어베인,0
cat__마명_베스트에이원,0
cat__마명_베스트조이,0
cat__마명_베스트천하,0
cat__마명_베스트프리덤,0
cat__마명_베스트피치,0
cat__마명_베트캡틴,0
cat__마명_벨로테로,0
cat__마명_벨록스보이,0
cat__마명_벽송,0
cat__마명_별콩,0
cat__마명_보스토크,0
cat__마명_볼린,0
cat__마명_봉화스테이,0
cat__마명_불곰마드레,0
cat__마명_불국시대,0
cat__마명_불의세계,0
cat__마명_불타는심장,0
cat__마명_붉은태양,0
cat__마명_붉은폭풍,0
cat__마명_뷰티풀화성,0
cat__마명_브라보플레이,0
cat__마명_브라운골드,0
cat__마명_브라운슈거,0
cat__마명_브라이트카이,0
cat__마명_브리도시리스,0
cat__마명_브리도트로피,0
cat__마명_블랙러시안,0
cat__마명_블랙머스크,0
cat__마명_블랙벨트,0
cat__마명_블랙사탕,0
cat__마명_블랙선,0
cat__마명_블랙스펙터,0
cat__마명_블랙시대,0
cat__마명_블랙페페,0
cat__마명_블러드마운틴,0
cat__마명_블러싱로즈,0
cat__마명_블루넬로,0
cat__마명_블루드래곤,0
cat__마명_블루레몬,0
cat__마명_블루레인,0
cat__마명_블루선,0
cat__마명_블루피오라,0
cat__마명_블리스스타,0
cat__마명_비바청수,0
cat__마명_비상데이,0
cat__마명_비상벨,0
cat__마명_비에스스톰,0
cat__마명_비전파워,0
cat__마명_비카드래곤,0
cat__마명_비케이데블,0
cat__마명_비케이러브,0
cat__마명_비케이비바체,0
cat__마명_비케이준,0
cat__마명_비트도깨비,0
cat__마명_빅블레드,0
cat__마명_빅스고,0
cat__마명_빅토리퀸,0
cat__마명_빈체로카발로,0
cat__마명_빈체로큐,0
cat__마명_빈체로킹,0
cat__마명_빌리언보이,0
cat__마명_빛의순간,0
cat__마명_사바나건,0
cat__마명_사바나찰리,0
cat__마명_사이클론스타,0
cat__마명_사탕소녀,0
cat__마명_사하라로즈,0
cat__마명_사하라몬드,0
cat__마명_삼정레이디,0
cat__마명_새내라니아,0
cat__마명_새내타운,0
cat__마명_새내파이터,0
cat__마명_새로운가이,0
cat__마명_새파랑,0
cat__마명_샤크텐,0
cat__마명_서니로드,0
cat__마명_서머파티,0
cat__마명_서부챔프,0
cat__마명_서부특송,0
cat__마명_서브미션,0
cat__마명_서울돌풍,0
cat__마명_서울불청객,0
cat__마명_서울탱크,0
cat__마명_서클에이,0
cat__마명_선더드림,0
cat__마명_선더런,0
cat__마명_선더마블,0
cat__마명_선더스톰,0
cat__마명_선더에이원,0
cat__마명_선더여걸,0
cat__마명_선더파이어,0
cat__마명_섬돌모루,0
cat__마명_섬싱다크,0
cat__마명_섬싱로스트,0
cat__마명_성실대로,0
cat__마명_세광질주,0
cat__마명_세광파이터,0
cat__마명_세라드,0
cat__마명_세명다이아,0
cat__마명_세명스트롱,0
cat__마명_세명피크,0
cat__마명_세븐카이저,0
cat__마명_세인트러너,0
cat__마명_세인트루카,0
cat__마명_세인트위너,0
cat__마명_소울비트,0
cat__마명_소프트파워,0
cat__마명_손에손잡고,0
cat__마명_송당황태자,0
cat__마명_송암드래건,0
cat__마명_송암스카이,0
cat__마명_수부타이,0
cat__마명_수향미인,0
cat__마명_슈어니스,0
cat__마명_슈어윈,0
cat__마명_슈퍼블루문,0
cat__마명_슈퍼선더,0
cat__마명_슈퍼엑톤,0
cat__마명_슈퍼피니시,0
cat__마명_슈프림삭스,0
cat__마명_스마일링프린스,0
cat__마명_스마트마루,0
cat__마명_스마트뮤직,0
cat__마명_스마트밍크,0
cat__마명_스마트삭스,0
cat__마명_스마트워리어,0
cat__마명_스마트캣,0
cat__마명_스마트테이크,0
cat__마명_스마트해성,0
cat__마명_스위트송,0
cat__마명_스케일킹,0
cat__마명_스타트렉,0
cat__마명_스터닝레이디,0
cat__마명_스터닝서브,0
cat__마명_스터닝스텝,0
cat__마명_스터닝퀸,0
cat__마명_스터닝펄,0
cat__마명_스터닝플래터,0
cat__마명_스텝바이스텝,0
cat__마명_스톰가이,0
cat__마명_스톰브레이커,0
cat__마명_스톰체이서,0
cat__마명_스톰트루퍼,0
cat__마명_스트롱보스,0
cat__마명_스티플,0
cat__마명_스틸플레이,0
cat__마명_스팅제트,0
cat__마명_스파이스밴드,0
cat__마명_스파크선더,0
cat__마명_스파클링,0
cat__마명_스퍼트빗,0
cat__마명_스페셜타임,0
cat__마명_스페셜포스,0
cat__마명_스포르차,0
cat__마명_스플렌디드,0
cat__마명_스피드레전드,0
cat__마명_스피드원,0
cat__마명_슬램드래곤,0
cat__마명_슬링스타,0
cat__마명_승리바로우즈,0
cat__마명_승부사,0
cat__마명_시크릿삭스,0
cat__마명_시크릿울프,0
cat__마명_신라의파이터,0
cat__마명_신의반전,0
cat__마명_신의이름,0
cat__마명_신천하트,0
cat__마명_신한에이스,0
cat__마명_실버레인,0
cat__마명_실버문,0
cat__마명_실크스펙터,0
cat__마명_싹다나은,0
cat__마명_쌍옥루,0
cat__마명_쏘아라스타,0
cat__마명_아르고리치,0
cat__마명_아마존킹,0
cat__마명_아만바로우즈,0
cat__마명_아메리카골드,0
cat__마명_아모스최강,0
cat__마명_아이엠고,0
cat__마명_아이엠짱,0
cat__마명_아치로켓,0
cat__마명_아치메모리,0
cat__마명_아치클래스,0
cat__마명_아침동자,0
cat__마명_아카펠,0
cat__마명_아쿠아라인,0
cat__마명_아트캐처,0
cat__마명_아파트,0
cat__마명_안양기쁨,0
cat__마명_안양쓰나미,0
cat__마명_알리페르,0
cat__마명_알파피메일,0
cat__마명_애순이,0
cat__마명_애플스타일,0
cat__마명_어디가도,0
cat__마명_어디든지,0
cat__마명_어메이징록,0
cat__마명_어메이징스타,0
cat__마명_어서말을해,0
cat__마명_어퍼핸드,0
cat__마명_어퓨어굿우먼,0
cat__마명_어플리트런,0
cat__마명_에어포스원,0
cat__마명_에이스케이,0
cat__마명_에코월드,0
cat__마명_에클레어,0
cat__마명_에클레어파워,0
cat__마명_에펠탑,0
cat__마명_엑설런트마타,0
cat__마명_엑설런트탄,0
cat__마명_엑설런트한센,0
cat__마명_엑스텐,0
cat__마명_엑스팩터,0
cat__마명_엔딩파이어,0
cat__마명_엔트로피,0
cat__마명_엘도라도강남,0
cat__마명_엘도라도놀부,0
cat__마명_엠제이베스트,0
cat__마명_엠제이베트,0
cat__마명_엠지베스트,0
cat__마명_엠지퍼스트,0
cat__마명_엠케이리,0
cat__마명_여명의순간,0
cat__마명_연희히어로,0
cat__마명_영광의스카이,0
cat__마명_영광의월드,0
cat__마명_영원빅맨,0
cat__마명_영원자이언트,0
cat__마명_영원한스타,0
cat__마명_영파이터,0
cat__마명_예스엔젤,0
cat__마명_오늘도스마일,0
cat__마명_오라칸,0
cat__마명_오리온알파,0
cat__마명_오섬퀸,0
cat__마명_오송의별,0
cat__마명_오피에스탑,0
cat__마명_올포유어드림,0
cat__마명_와달비,0
cat__마명_와우와우,0
cat__마명_와일드매직,0
cat__마명_와일드삭스,0
cat__마명_왈츠의여왕,0
cat__마명_왕최고,0
cat__마명_용비교,0
cat__마명_용비신화,0
cat__마명_용비킹,0
cat__마명_용비태양,0
cat__마명_용비히어로,0
cat__마명_용암세상,0
cat__마명_우광명,0
cat__마명_우마포이,0
cat__마명_우승진리,0
cat__마명_우승콩코드,0
cat__마명_우아센,0
cat__마명_운주타임,0
cat__마명_울트라드래곤,0
cat__마명_울트라망치,0
cat__마명_울트라선더,0
cat__마명_원더풀노던,0
cat__마명_원더풀다르샨,0
cat__마명_원더풀로드,0
cat__마명_원더풀리즌,0
cat__마명_원더풀삭스,0
cat__마명_원더풀새치,0
cat__마명_원더풀스피릿,0
cat__마명_원더풀슬루,0
cat__마명_원더풀시킹,0
cat__마명_원더풀어롱,0
cat__마명_원더풀에이원,0
cat__마명_원더풀엔비,0
cat__마명_원더풀제트,0
cat__마명_원더풀캐시,0
cat__마명_원더풀튠업,0
cat__마명_원더풀티지,0
cat__마명_원더풀파피,0
cat__마명_원더풀패스,0
cat__마명_원더풀폭스,0
cat__마명_원모타임,0
cat__마명_원펀치드래곤,0
cat__마명_원평강자,0
cat__마명_원평누리,0
cat__마명_원평리스트,0
cat__마명_원평스킷,0
cat__마명_원평스톰,0
cat__마명_월드블레임,0
cat__마명_월드섀넌스,0
cat__마명_월드조이,0
cat__마명_월드참,0
cat__마명_월드피플,0
cat__마명_월드화합,0
cat__마명_웨스턴건,0
cat__마명_위고하이,0
cat__마명_위너글로리,0
cat__마명_위대한함성,0
cat__마명_위드디스쿠로,0
cat__마명_위버멘쉬,0
cat__마명_위즈러너,0
cat__마명_위즈리얼리티,0
cat__마명_위즈윈,0
cat__마명_위즈캠페인,0
cat__마명_윈드카니발,0
cat__마명_윈캐처,0
cat__마명_유니버설,0
cat__마명_유니카,0
cat__마명_은빛돌풍,0
cat__마명_은빛유혹,0
cat__마명_은파부스터,0
cat__마명_은파사랑,0
cat__마명_은파스위트,0
cat__마명_은하칼라스,0
cat__마명_음성파워,0
cat__마명_이스트강적,0
cat__마명_이스트웨스트,0
cat__마명_이스트점프,0
cat__마명_이슬처럼,0
cat__마명_이십년세월,0
cat__마명_이안퍼펙트,0
cat__마명_이클립스더퀸,0
cat__마명_이클립스더킹,0
cat__마명_이클립스베이,0
cat__마명_이클립스블랙,0
