birthday,chaksunT,faHrName,faHrNo,hrLastAmt,hrName,hrNo,meet,moHrName,moHrNo,name,ord1CntT,ord1CntY,ord2CntT,ord2CntY,ord3CntT,ord3CntY,owName,owNo,rank,rating,rcCntT,rcCntY,sex,trName,trNo
20220404,27450000,나스카프린스,0035295,"30,000천원(개별)",겨울장미,0051211,서울,플래시어필,0040141,한국,0,0,2,1,2,2,(주)나스카,110034,국5,0,10,7,암,송문길,070179
20230319,0,한센,0032990,"50,000천원(개별)",고산봉,0053580,서울,월드피스,0035291,한국,0,0,0,0,0,0,함평제일,121026,국6,0,2,2,거,박천서,070115
20240222,0,한센,0032990,"26,000천원(경매)",고스트소닉,0055643,서울,배블레이디,0019701,한국,0,0,0,0,0,0,한대영,123024,국미검,0,0,0,암,안병기,070146
20210326,85200000,크리솔라이트,0038227,"37,800천원(개별)",고스트크리솔,0047099,서울,리치여장군,0035094,한국,1,1,5,4,1,1,한대영,123024,국4,0,13,9,거,안병기,070146
20230328,7800000,섀클포드,0045050,"53,000천원(개별)",고주일척,0053276,서울,차이밍비카,0026402,한국,0,0,1,1,0,0,이관형,105163,국6,0,4,4,거,함완식,070248
20230426,0,지몰로지스트,6969075,"30,000천원(개별)",고흥의스타,0053965,서울,마이일루시브드림,0041556,한국,0,0,0,0,0,0,송창오,121057,국6,0,0,0,암,송문길,070179
20230301,0,KANTHAROS,6965458,"50,000천원(개별)",골드레인,0053143,서울,바이더파이어,0052611,한국,0,0,0,0,0,0,조근식,124006,국6,0,1,1,암,안병기,070146
20210105,113400000,테스타마타,0034428,"50,000천원(경매)",골드뭉치,0046716,서울,허쉬틸드,0022400,한국,3,0,1,0,2,1,이기선,010516,국4,0,19,10,거,리카디,070244
20210415,87950000,카우보이칼,0038391,"43,000천원(개별)",골드베르크,0047186,서울,트룰레이드빌,0040205,한국,2,0,0,0,3,1,이정화,122016,국5,0,24,10,암,송문길,070179
20220422,0,온이글즈윙즈,0036593,수증,골드스텝,0051450,서울,금포엔젤,0029670,한국,0,0,0,0,0,0,서운석,104045,국6,0,2,2,암,서인석,070165
20220507,34500000,섀클포드,0045050,수증,골드스피닝,0051930,서울,에이스스피닝,0033738,한국,1,1,2,2,0,0,우상우,110007,국5,0,14,13,거,홍윤화,070306
20210427,123900000,언캡처드,0044993,"60,000천원(개별)",골드시대,0047132,서울,서머오페라,0036324,한국,2,0,5,0,1,0,이기선,010516,국3,0,18,6,거,리카디,070244
20230508,0,미스터크로우,0041813,자가생산,골드아이디,0054054,서울,아이디이천,0030973,한국,0,0,0,0,0,0,이종욱,065133,국6,0,1,1,암,심승태,070166
20220126,162900000,카우보이칼,0038391,"40,000천원(개별)",골드캐처,0051041,서울,처비아너,0040242,한국,4,4,2,2,3,3,홍애란,124009,국3,0,12,11,암,휴양마,0AAAAA
20220327,86250000,콩코드포인트,0038387,"25,000천원(개별)",골드퀸즈,0051322,서울,스캣대디즈브리즈,0038278,한국,2,1,2,1,2,1,명마조합,124013,국4,0,12,8,암,이관호,070181
20230325,50850000,COLLECTED,6115207,"41,000천원(경매)",골든디바,0053335,서울,골든오브,0052752,한국,1,1,2,2,1,1,이민정,125002,국5,0,6,6,암,토니,070265
20230426,11400000,섀클포드,0045050,"75,000천원(경매)",골든매치,0053842,서울,모닝뮤직,0027526,한국,0,0,1,1,0,0,간용기,123031,국6,0,3,3,수,최용구,070168
20240315,0,카우보이칼,0038391,"35,000천원(경매)",골든벤투스,0055586,서울,버닝건,0042331,한국,0,0,0,0,0,0,김다혜,123021,국미검,0,0,0,수,서인석,070165
20210328,53300000,티즈원더풀,0034835,"25,000천원(개별)",골든볼,0047501,서울,히어즈벨라,0036696,한국,1,1,0,0,3,0,민홍기,010824,국5,0,24,8,암,최봉주,070152
20220412,19500000,카우보이칼,0038391,"47,000천원(경매)",골든세이브,0051679,서울,스위트케이트,0036651,한국,0,0,1,1,2,2,조경수,214774,국5,0,7,7,거,박지헌,070264
20190331,189300000,투아너앤드서브,0041566,수증,골든아너,0044881,서울,골든로즈,0020886,한국,3,0,3,0,5,1,디디에스코리아(주),126001,국3,0,30,8,수,전승규,070182
20230404,5400000,지롤라모,0040246,"30,000천원(개별)",골든워리어,0053262,서울,모란동백,0035620,한국,0,0,0,0,1,1,홍상기,105194,국6,0,5,5,암,휴양마,0AAAAA
20240308,0,미스치비어슬리,0038245,"30,000천원(개별)",과천신화,0055729,서울,엑톤신화,0034985,한국,0,0,0,0,0,0,본투런,121018,국미검,0,0,0,암,박병일,070163
20220502,0,섀클포드,0045050,자가생산,과천호령,0051362,서울,아리치아,0044975,한국,0,0,0,0,0,0,이용대,010641,국6,0,2,2,암,휴양마,0AAAAA
20230416,0,머스킷맨,0036732,"60,000천원(경매)",관악그레이스,0054863,서울,라이트유어월드,0040228,한국,0,0,0,0,0,0,손병석,123009,국6,0,0,0,암,휴양마,0AAAAA
20240315,0,GIRVIN,6126461,"55,656천원(개별)",관악산그리핀,0061457,서울,MY SASSENACH,7093694,미국,0,0,0,0,0,0,손병석,123009,외미검,0,0,0,수,이준철,070197
20220323,21750000,섀클포드,0045050,"60,000천원(경매)",관악산글로벌,0051418,서울,굿셰퍼드,0040221,한국,1,1,0,0,0,0,손병석,123009,국5,0,10,5,거,휴양마,0AAAAA
20210420,142950000,ACCELERATE,6115682,"31,533천원(개별)",관악산레오,0053715,서울,SO YOU KNOW,7028167,미국,2,1,4,3,0,0,손병석,123009,외3,0,21,11,암,리카디,070244
20220423,39600000,COPANO RICKEY,7120945,"114,012천원(개별)",관악산리키,0056353,서울,PISA NO PRIVE,7138209,일본,0,0,3,3,0,0,손병석,123009,외4,0,4,4,거,이준철,070197
20240307,0,빅스,0041559,"70,000천원(경매)",관악산빅스텝,0055519,서울,리에너자이즈,0046497,한국,0,0,0,0,0,0,손병석,123009,국미검,0,0,0,수,송문길,070179
20230322,82500000,콩코드포인트,0038387,"78,000천원(경매)",관악산스카이,0053436,서울,베리블레이드,0043902,한국,3,3,0,0,0,0,손병석,123009,국4,0,3,3,수,이준철,070197
20220223,107250000,MITOLE,6130177,"194,284천원(개별)",관악산스톰,0055884,서울,ALMIGHTY MIRACLE,6142171,미국,2,2,0,0,2,2,손병석,123009,외3,0,7,6,수,리카디,070244
20220124,163750000,CONNECT,6114907,"129,842천원(개별)",관악산오투,0055885,서울,DANESSA AGAIN,6120582,미국,3,2,0,0,2,1,손병석,123009,외2,0,11,6,암,리카디,070244
20220325,91950000,머스킷맨,0036732,"85,000천원(경매)",관악산원더풀,0051619,서울,헤일리즈롤리팝,0045046,한국,2,2,3,2,2,1,손병석,123009,국4,0,10,7,암,휴양마,0AAAAA
20220514,0,트리플나인,0032258,"70,000천원(경매)",관악산위시미,0051913,서울,위시미석세스,0025723,한국,0,0,0,0,0,0,손병석,123009,국6,0,6,5,거,휴양마,0AAAAA
20240122,0,지몰로지스트,6969075,"50,000천원(경매)",관악산윈디,0055205,서울,오케이퀸,0036853,한국,0,0,0,0,0,0,손병석,123009,국미검,0,0,0,암,송문길,070179
20240107,0,카우보이칼,0038391,"50,000천원(경매)",관악산점프,0055194,서울,프라우들리위해일,0041966,한국,0,0,0,0,0,0,손병석,123009,국미검,0,0,0,수,이준철,070197
20220117,24300000,올드패션드,0037972,"45,000천원(경매)",관악산조이,0050857,서울,조이럭키,0028261,한국,0,0,1,0,2,1,손병석,123009,국5,0,12,7,암,휴양마,0AAAAA
20230227,42750000,한센,0032990,"65,000천원(개별)",관악산챔프,0052965,서울,큐리어스캣,0043299,한국,1,1,1,1,1,1,손병석,123009,국5,0,6,6,수,휴양마,0AAAAA
20220506,24750000,한센,0032990,"50,000천원(경매)",관악산체크인,0051622,서울,만델리나,0039496,한국,0,0,2,1,1,1,손병석,123009,국5,0,13,8,거,이준철,070197
